$ python tools/clrmeta.py TheWardrobe --census

binaries examined : 161
managed           : 143
native            : 18

file                                            bytes format runtime    #Strings        #US
The Wardrobe.exe                               667648 PE32+  native            -          -
UnityCrashHandler64.exe                       1609136 PE32+  native            -          -
UnityPlayer.dll                              35780016 PE32+  native            -          -
D3D12\D3D12Core.dll                           4725304 PE32+  native            -          -
MonoBleedingEdge\EmbedRuntime\MonoPosixHelper.dll     611240 PE32+  native            -          -
MonoBleedingEdge\EmbedRuntime\mono-2.0-bdwgc.dll    7828912 PE32+  native            -          -
The Wardrobe_Data\Managed\Assembly-CSharp-firstpass.dll     401408 PE32   v4.0.30319     131340       3852
The Wardrobe_Data\Managed\Assembly-CSharp.dll     819712 PE32   v4.0.30319      94180     240624
The Wardrobe_Data\Managed\FMODUnity.dll        224256 PE32   v4.0.30319      53536      18020
The Wardrobe_Data\Managed\FMODUnityResonance.dll      11264 PE32   v4.0.30319       2892        116
The Wardrobe_Data\Managed\Mono.Security.dll     241152 PE32   v4.0.30319      38592      18352
The Wardrobe_Data\Managed\Rewired_Core.dll    2030592 PE32   v4.0.30319     369500      86500
The Wardrobe_Data\Managed\Rewired_Windows.dll    1322496 PE32   v4.0.30319     500020      33784
The Wardrobe_Data\Managed\Rewired_Windows_Functions.dll       5120 PE32   v4.0.30319       1100          4
The Wardrobe_Data\Managed\SonyNP.dll           242176 PE32   v2.0.50727      53096      13384
The Wardrobe_Data\Managed\SonyPS4CommonDialog.dll      16384 PE32   v2.0.50727       4920         32
The Wardrobe_Data\Managed\SonyPS4SaveData.dll      70144 PE32   v2.0.50727      13252       3148
The Wardrobe_Data\Managed\System.ComponentModel.Composition.dll     257024 PE32   v4.0.30319      41892      13888
The Wardrobe_Data\Managed\System.Configuration.dll     124928 PE32   v4.0.30319      21244      10312
The Wardrobe_Data\Managed\System.Core.dll     1113088 PE32   v4.0.30319     118420      48856
The Wardrobe_Data\Managed\System.Data.DataSetExtensions.dll      29696 PE32   v4.0.30319       4996       1108
The Wardrobe_Data\Managed\System.Data.dll     2125312 PE32   v4.0.30319     223100     175164
The Wardrobe_Data\Managed\System.Drawing.dll     489984 PE32   v4.0.30319      75016      24820
The Wardrobe_Data\Managed\System.EnterpriseServices.dll      44544 PE32   v4.0.30319      10948         64
The Wardrobe_Data\Managed\System.IO.Compression.FileSystem.dll      18432 PE32   v4.0.30319       3140        616
The Wardrobe_Data\Managed\System.IO.Compression.dll     114688 PE32   v4.0.30319      19584       8040
