$ python tools/pecensus.py TheWardrobe

path                                              fmt     kind      bytes     linker COFF (UTC)          mtime (local)       CompanyName / module
---------------------------------------------- ------ -------- ---------- ---------- ------------------- ------------------- ------------------------------
D3D12/D3D12Core.dll                             PE32+   native    4725304      14.44 2025-09-23 21:32:22 2026-06-05 17:02:28 Microsoft Corporation
oBleedingEdge/EmbedRuntime/MonoPosixHelper.dll  PE32+   native     611240      14.29 2025-10-14 16:20:16 2026-06-05 17:02:28 
noBleedingEdge/EmbedRuntime/mono-2.0-bdwgc.dll  PE32+   native    7828912      14.29 2025-10-14 16:18:06 2026-06-05 17:02:28 
The Wardrobe.exe                                PE32+   native     667648      14.42 2026-01-27 10:58:40 2026-06-05 17:02:28 
obe_Data/Managed/Assembly-CSharp-firstpass.dll   PE32  managed     401408  csc 48.00 hash 0xB8109F88     2026-06-05 17:02:28 
The Wardrobe_Data/Managed/Assembly-CSharp.dll    PE32  managed     819712  csc 48.00 hash 0x932EEDD9     2026-06-05 17:02:28 
The Wardrobe_Data/Managed/FMODUnity.dll          PE32  managed     224256  csc 48.00 hash 0xE6469B09     2026-06-05 17:02:30 
e Wardrobe_Data/Managed/FMODUnityResonance.dll   PE32  managed      11264  csc 48.00 hash 0x900D986F     2026-06-05 17:02:41 
The Wardrobe_Data/Managed/Mono.Security.dll      PE32  managed     241152  csc 48.00 hash 0xAE9CDB1E     2026-06-05 17:02:30 MONO development team
The Wardrobe_Data/Managed/Rewired_Core.dll       PE32  managed    2030592  csc 48.00 hash 0xA8425210     2026-06-05 17:02:28 Guavaman Enterprises
The Wardrobe_Data/Managed/Rewired_Windows.dll    PE32  managed    1322496  csc 48.00 hash 0xB653B8C1     2026-06-05 17:02:28 Guavaman Enterprises
obe_Data/Managed/Rewired_Windows_Functions.dll   PE32  managed       5120  csc 48.00 hash 0x8D781A37     2026-06-05 17:02:31 
The Wardrobe_Data/Managed/SonyNP.dll             PE32  managed     242176  csc 11.00 2021-07-27 14:43:43 2026-06-05 17:02:30 
 Wardrobe_Data/Managed/SonyPS4CommonDialog.dll   PE32  managed      16384  csc 11.00 2021-07-27 14:43:44 2026-06-05 17:02:30 
The Wardrobe_Data/Managed/SonyPS4SaveData.dll    PE32  managed      70144  csc 11.00 2021-07-27 14:43:44 2026-06-05 17:02:30 
/Managed/System.ComponentModel.Composition.dll   PE32  managed     257024   csc 8.00 hash 0x8F9DC464     2026-06-05 17:02:31 Mono development team
Wardrobe_Data/Managed/System.Configuration.dll   PE32  managed     124928   csc 8.00 hash 0xC843C767     2026-06-05 17:02:30 Mono development team
The Wardrobe_Data/Managed/System.Core.dll        PE32  managed    1113088   csc 8.00 hash 0xCEDCD341     2026-06-05 17:02:28 Mono development team
Data/Managed/System.Data.DataSetExtensions.dll   PE32  managed      29696   csc 8.00 hash 0xA4443748     2026-06-05 17:02:30 Mono development team
The Wardrobe_Data/Managed/System.Data.dll        PE32  managed    2125312   csc 8.00 hash 0x89944A4D     2026-06-05 17:02:28 Mono development team
The Wardrobe_Data/Managed/System.Drawing.dll     PE32  managed     489984   csc 8.00 hash 0x80A3FF5E     2026-06-05 17:02:28 Mono development team
obe_Data/Managed/System.EnterpriseServices.dll   PE32  managed      44544   csc 8.00 hash 0xF822AB17     2026-06-05 17:02:32 Mono development team
a/Managed/System.IO.Compression.FileSystem.dll   PE32  managed      18432   csc 8.00 hash 0xD4E3328E     2026-06-05 17:02:31 Mono development team
ardrobe_Data/Managed/System.IO.Compression.dll   PE32  managed     114688   csc 8.00 hash 0x945D5095     2026-06-05 17:02:32 Mono development team
he Wardrobe_Data/Managed/System.IO.Hashing.dll   PE32  managed      50488  csc 48.00 hash 0xD835C2BC     2026-06-05 17:02:30 Microsoft Corporation
The Wardrobe_Data/Managed/System.Memory.dll      PE32  managed       4608  csc 48.00 hash 0xC0BD2F1F     2026-06-05 17:02:31 Mono development team
The Wardrobe_Data/Managed/System.Net.Http.dll    PE32  managed     122880   csc 8.00 hash 0x92CE16CB     2026-06-05 17:02:41 Mono development team
The Wardrobe_Data/Managed/System.Numerics.dll    PE32  managed     119296   csc 8.00 hash 0x901FC22E     2026-06-05 17:02:32 Mono development team
ged/System.Runtime.CompilerServices.Unsafe.dll   PE32  managed      18024  csc 11.00 2021-10-22 23:40:47 2026-06-05 17:02:32 Microsoft Corporation
_Data/Managed/System.Runtime.Serialization.dll   PE32  managed     934400   csc 8.00 hash 0x86693F0A     2026-06-05 17:02:28 Mono development team
The Wardrobe_Data/Managed/System.Runtime.dll     PE32  managed      12288  csc 48.00 hash 0xB14BC3B0     2026-06-05 17:02:32 Mono development team
The Wardrobe_Data/Managed/System.Security.dll    PE32  managed     320000   csc 8.00 hash 0xE075C347     2026-06-05 17:02:28 Mono development team
Data/Managed/System.ServiceModel.Internals.dll   PE32  managed     215040  csc 48.00 hash 0xCE9B2E33     2026-06-05 17:02:32 
 Wardrobe_Data/Managed/System.Transactions.dll   PE32  managed      35328   csc 8.00 hash 0x938F0DF2     2026-06-05 17:02:30 Mono development team
